# !SESSION 2022-05-13 15:20:47.937
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/debug=true
# 	org.eclipse.core.runtime/perf/success=true
# 	com._1c.g5.v8.dt.compare/debug=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/resource-processing=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/sync/console=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load=true
# 	org.eclipse.core.runtime/debug=true
# 	org.eclipse.core.runtime/perf=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/trace=true
# 	org.eclipse.wst.server.core/severe=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/platform=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/process=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/tunnel/console=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load/object-resolve=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/preferences/keep-temp-files/fail=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/trace=true
# 	com._1c.g5.v8.dt.platform.services.core/debug=true
# 	com._1c.g5.v8.dt.compare/trace/git-merge=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/trace=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud=true
| ModalContext | 2022-05-13 15:20:47.937 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Executing 1C:Enterprise runtime command: C:\Program Files (x86)\1cv8t\8.3.20.1613\bin\1cv8t.exe CREATEINFOBASE File="C:\Users\Ренатзве Здкин\Documents\InfoBase";Locale="ru_RU";DBMS="MSSQLServer"; /AddInList ТестоваяУчебнаяБаза /Out C:\Users\2C32~1\AppData\Local\Temp\1cedt\1cv8-14585610730027025663.log |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.209 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing resource save: L/DatabaseConfig/src/Configuration/Configuration.mdo : [com._1c.g5.v8.dt.metadata.common.impl.UsedFunctionalityImpl@a643f8e0, com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@89fc4c81, com._1c.g5.v8.dt.metadata.mdclass.impl.LanguageImpl@bed07b83, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@a97fa464, com._1c.g5.v8.dt.metadata.common.impl.UsedFunctionalityFlagImpl@7b5085c9, com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@df426d4a, com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@6bc90a8f, com._1c.g5.v8.dt.metadata.common.impl.UsedFunctionalityFlagImpl@94ffb1cf, com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@347db7d6, com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@f6c6d71a, com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@1dc318bc, com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@3f9863d, com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@d0475e1d] |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.211 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Infobase synchronisation descriptor found: type-com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental strategy-com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.212 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.common.impl.UsedFunctionalityImpl@a643f8e0 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.516 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.517 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.ContainedObjectImpl@89fc4c81 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.517 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@bbfff09d |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.518 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.metadata.mdclass.impl.LanguageImpl@bed07b83 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.520 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.LanguageImpl@bed07b83 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.520 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Processing object: com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@a97fa464 |
| Worker-21: Экспорт ресурсов проекта: DatabaseConfig | 2022-05-13 15:25:49.521 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 197 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.LanguageImpl@bed07b83 |
